category,badge_name,age_group,badge_tier,metric_code,threshold,threshold type,file_name,file_type
exit_velo,eva_2_10,youth,gold,exit_velo_eva_2_10_youth_gold,10,exit_velo_application_2_session_count,exit_velo_eva_2_10_youth_gold.png,png
exit_velo,eva_3_1,youth,silver,exit_velo_eva_3_1_youth_silver,1,exit_velo_application_3_session_count,exit_velo_eva_3_1_youth_silver.png,png
exit_velo,eva_3_10,youth,gold,exit_velo_eva_3_10_youth_gold,10,exit_velo_application_3_session_count,exit_velo_eva_3_10_youth_gold.png,png
,,,,,,,,
exit_velo,eva_1_1,all_star,silver,exit_velo_eva_1_1_all_star_silver,1,exit_velo_application_1_session_count,exit_velo_eva_1_1_all_star_silver.png,png
exit_velo,eva_1_10,all_star,gold,exit_velo_eva_1_10_all_star_gold,10,exit_velo_application_1_session_count,exit_velo_eva_1_10_all_star_gold.png,png
exit_velo,eva_2_1,all_star,silver,exit_velo_eva_2_1_all_star_silver,1,exit_velo_application_2_session_count,exit_velo_eva_2_1_all_star_silver.png,png
exit_velo,eva_2_10,all_star,gold,exit_velo_eva_2_10_all_star_gold,10,exit_velo_application_2_session_count,exit_velo_eva_2_10_all_star_gold.png,png
exit_velo,eva_3_1,all_star,silver,exit_velo_eva_3_1_all_star_silver,1,exit_velo_application_3_session_count,exit_velo_eva_3_1_all_star_silver.png,png
exit_velo,eva_3_10,all_star,gold,exit_velo_eva_3_10_all_star_gold,10,exit_velo_application_3_session_count,exit_velo_eva_3_10_all_star_gold.png,png
,,,,,,,,
exit_velo,eva_1_1,pro,silver,exit_velo_eva_1_1_pro_silver,1,exit_velo_application_1_session_count,exit_velo_eva_1_1_pro_silver.png,png
exit_velo,eva_1_10,pro,gold,exit_velo_eva_1_10_pro_gold,10,exit_velo_application_1_session_count,exit_velo_eva_1_10_pro_gold.png,png
exit_velo,eva_2_1,pro,silver,exit_velo_eva_2_1_pro_silver,1,exit_velo_application_2_session_count,exit_velo_eva_2_1_pro_silver.png,png
exit_velo,eva_2_10,pro,gold,exit_velo_eva_2_10_pro_gold,10,exit_velo_application_2_session_count,exit_velo_eva_2_10_pro_gold.png,png
exit_velo,eva_3_1,pro,silver,exit_velo_eva_3_1_pro_silver,1,exit_velo_application_3_session_count,exit_velo_eva_3_1_pro_silver.png,png
exit_velo,eva_3_10,pro,gold,exit_velo_eva_3_10_pro_gold,10,exit_velo_application_3_session_count,exit_velo_eva_3_10_pro_gold.png,png
,,,,,,,,
exit_velo,eva_1_1,softball,silver,exit_velo_eva_1_1_softball_silver,1,exit_velo_application_1_session_count,exit_velo_eva_1_1_softball_silver.png,png
exit_velo,eva_1_10,softball,gold,exit_velo_eva_1_10_softball_gold,10,exit_velo_application_1_session_count,exit_velo_eva_1_10_softball_gold.png,png
exit_velo,eva_2_1,softball,silver,exit_velo_eva_2_1_softball_silver,1,exit_velo_application_2_session_count,exit_velo_eva_2_1_softball_silver.png,png
exit_velo,eva_2_10,softball,gold,exit_velo_eva_2_10_softball_gold,10,exit_velo_application_2_session_count,exit_velo_eva_2_10_softball_gold.png,png
exit_velo,eva_3_1,softball,silver,exit_velo_eva_3_1_softball_silver,1,exit_velo_application_3_session_count,exit_velo_eva_3_1_softball_silver.png,png
exit_velo,eva_3_10,softball,gold,exit_velo_eva_3_10_softball_gold,10,exit_velo_application_3_session_count,exit_velo_eva_3_10_softball_gold.png,png
,,,,,,,,
gains,bs_3_mph,youth,bronze,gains_bs_3_mph_youth_bronze,3%,bat_speed_percent_gain,gains_bs_3_mph_youth_bronze.png,png
gains,bs_5_mph,youth,silver,gains_bs_5_mph_youth_silver,5%,bat_speed_percent_gain,gains_bs_5_mph_youth_silver.png,png
gains,bs_7_mph,youth,gold,gains_bs_7_mph_youth_gold,7%,bat_speed_percent_gain,gains_bs_7_mph_youth_gold.png,png
gains,bs_10_mph,youth,velo,gains_bs_10_mph_youth_velo,10%,bat_speed_percent_gain,gains_bs_10_mph_youth_velo.png,png
,,,,,,,,
gains,bs_3_mph,all_star,bronze,gains_bs_3_mph_all_star_bronze,3%,bat_speed_percent_gain,gains_bs_3_mph_all_star_bronze.png,png
gains,bs_5_mph,all_star,silver,gains_bs_5_mph_all_star_silver,5%,bat_speed_percent_gain,gains_bs_5_mph_all_star_silver.png,png
gains,bs_7_mph,all_star,gold,gains_bs_7_mph_all_star_gold,7%,bat_speed_percent_gain,gains_bs_7_mph_all_star_gold.png,png
gains,bs_10_mph,all_star,velo,gains_bs_10_mph_all_star_velo,10%,bat_speed_percent_gain,gains_bs_10_mph_all_star_velo.png,png
,,,,,,,,
gains,bs_3_mph,pro,bronze,gains_bs_3_mph_pro_bronze,3%,bat_speed_percent_gain,gains_bs_3_mph_pro_bronze.png,png
gains,bs_5_mph,pro,silver,gains_bs_5_mph_pro_silver,5%,bat_speed_percent_gain,gains_bs_5_mph_pro_silver.png,png
gains,bs_7_mph,pro,gold,gains_bs_7_mph_pro_gold,7%,bat_speed_percent_gain,gains_bs_7_mph_pro_gold.png,png
gains,bs_10_mph,pro,velo,gains_bs_10_mph_pro_velo,10%,bat_speed_percent_gain,gains_bs_10_mph_pro_velo.png,png
,,,,,,,,
gains,bs_3_mph,softball,bronze,gains_bs_3_mph_softball_bronze,3%,bat_speed_percent_gain,gains_bs_3_mph_softball_bronze.png,png
gains,bs_5_mph,softball,silver,gains_bs_5_mph_softball_silver,5%,bat_speed_percent_gain,gains_bs_5_mph_softball_silver.png,png
gains,bs_7_mph,softball,gold,gains_bs_7_mph_softball_gold,7%,bat_speed_percent_gain,gains_bs_7_mph_softball_gold.png,png
